gen,dist1,acceptance_rate
2,6.19239664356964,0.801455026455026
3,3.06804653420005,0.765516369611933
4,1.79231927866628,0.705427265267847
5,1.06671284252576,0.638756234744773
6,0.67973336656732,0.593296746373971
7,0.468267342804686,0.536088888888889
8,0.342893420831241,0.490105057415099
9,0.265978392526846,0.414265178999247
10,0.211935959310527,0.355735668224576
11,0.169094672202518,0.320816934368684
12,0.132413160265012,0.299456169236142
13,0.100762596758534,0.292760114903355
14,0.0777675737880446,0.271917126571971
15,0.0587767517967056,0.231749710312862
16,0.0455756669368496,0.2024560461683
17,0.0357571844663157,0.16978364503117
18,0.0282058911182834,0.140240226313593
19,0.0221676535274471,0.120268107242897
20,0.0175797290119293,0.0988510659281053
