alpha,beta,model,gamma
1.95730104395188,0.469513982927077,m1,NA
3.58400518419966,0.7047527557211,m1,NA
0.456438447481021,0.945360942485044,m1,NA
3.59567353868159,0.633854903856874,m1,NA
2.36095251516858,0.712202048436506,m1,NA
3.47912033496657,0.494582993771997,m1,NA
1.73016463623988,0.172819302639458,m1,NA
0.17614767751703,0.927890993420267,m1,NA
3.13053736784868,0.47716813091503,m1,NA
0.912833918038756,0.501282789149554,m1,NA
2.71353278686618,0.267619122668286,m1,NA
0.0745772458864376,0.822477180507267,m1,NA
2.7769799622409,0.965388471898739,m1,NA
3.79262370971311,0.332875019067433,m1,NA
2.49420293886401,0.0590400265251519,m1,NA
3.27585204102565,0.506180742160301,m1,NA
1.77464326722641,0.609493166920729,m1,NA
2.79583030455187,0.608092905595317,m1,NA
3.56600167927798,0.685685245526722,m1,NA
3.22554612053046,0.740483206901467,m1,NA
3.67359104151884,0.197035856019007,m1,NA
3.9753422011123,0.396912982105394,m1,NA
1.52188572803512,0.516063609906938,m1,NA
0.811278480513953,0.335573305575992,m1,NA
2.06762435356947,0.0649924131517764,m1,NA
2.01313001810759,0.290746361551224,m1,NA
2.96579568466777,0.981508384613553,m1,NA
1.43807115505543,0.341903122401098,m1,NA
3.42540572708799,0.120586617966881,m1,NA
0.892438757878263,0.994768740838161,m1,NA
2.7557620849018,0.940231790910941,m1,NA
1.02468086772924,0.356066531467251,m1,NA
3.83765481841378,0.59861790036608,m1,NA
1.43194523104373,0.712811689998605,m1,NA
3.55636093379837,0.4690771474801,m1,NA
2.91526772239804,0.80456552659045,m1,NA
2.74715604945458,0.543279661805485,m1,NA
3.95373032962857,0.887916993858875,m1,NA
2.18770297364658,0.102982274492504,m1,NA
2.03820751532027,0.647557769367588,m1,NA
1.68721907683043,0.257258356672595,m1,NA
1.35248661147011,0.111992094325018,m1,NA
2.23650207669567,0.20425791354978,m1,NA
3.01719894188084,0.643847119105048,m1,NA
0.947251696082298,0.211302521713194,m1,NA
3.5695774421175,0.958530175940134,m1,NA
3.69020846412983,0.834912132742465,m1,NA
1.11996076886216,0.145487923508277,m1,NA
2.37484701500507,0.595359872542904,m1,NA
2.52645515630627,0.0972239077226259,m1,NA
3.81313119584834,0.646655037209042,m1,NA
1.98300901145255,0.892211039952934,m1,NA
2.34031808010256,0.819226646592375,m1,NA
1.2585630641426,0.55914658265037,m1,NA
1.31754185692593,0.883338944079238,m1,NA
0.200506208880339,0.647347256484674,m1,NA
