gen,model,alpha,beta,gamma,pWeight,dist1
20,m1,0.951265429866906,0.927460733087105,NA,0.000288668895575054,0.0110630789115763
20,m1,1.23902915143523,0.509430580090385,NA,0.000170606021681465,0.0148534108705407
20,m1,1.4522247910739,0.510859967665355,NA,0.0001290587894275,0.0160186001474507
20,m1,1.56109886354741,0.481996491404277,NA,0.000137841011717859,0.00635428582273259
20,m1,1.53867292344669,0.515890186463652,NA,0.000133721036935568,0.00743263875330064
20,m1,1.45362060050256,0.547405850698152,NA,0.000128015435410037,0.00954076063072438
20,m1,1.0517595586006,0.785212701065641,NA,0.000204908315253446,0.0100286790566657
20,m1,1.41968667108474,0.534536091161642,NA,0.000128213690987574,0.0160980048173151
20,m1,1.33538888318775,0.46374823871692,NA,0.000156447318595115,0.00725272653368156
20,m1,1.54926334589808,0.517362134670364,NA,0.000135192108727371,0.00329507154097571
20,m1,1.52450537435182,0.414911548762979,NA,0.000151375152961954,0.0116016173238222
20,m1,1.56379447931079,0.382435265370155,NA,0.000168246161459523,0.000916457450178946
20,m1,1.42697787368909,0.527211633370174,NA,0.000128368473671595,0.0140580830114399
20,m1,0.80526361917938,0.913924918719532,NA,0.000391304416946134,0.000118154551175142
20,m1,1.35539709842731,0.599203866109691,NA,0.00013231581200014,0.00388162396868958
20,m1,1.51191819619792,0.418174888191978,NA,0.000150050865181481,0.00260039479750201
20,m1,1.32746524083932,0.541448504978169,NA,0.000136810190324562,0.0162808431231239
20,m1,1.15311228469053,0.761796649081083,NA,0.000180220046682776,0.00791380421397485
20,m1,1.3096270414327,0.627808064120856,NA,0.000138197967669359,0.00116044555478221
20,m1,1.62688733823537,0.526357285446521,NA,0.000153461027956312,0.000195067519088857
20,m1,1.40601109428942,0.555095743242613,NA,0.000128237591545691,0.0141386397826352
20,m1,1.21065472945308,0.762417111769188,NA,0.000176739724562925,0.00767121714769952
20,m1,1.6486847285724,0.480884526357503,NA,0.000156831197008517,0.00395726957910005
20,m1,1.38524418335184,0.593696892053459,NA,0.000130758282148007,0.0139775072257543
20,m1,1.40103451189932,0.529366531556669,NA,0.00012949126683292,0.00921564071380109
20,m1,1.47674054156203,0.562733254100513,NA,0.000130290046451866,0.0145820277678927
20,m1,0.978276117542417,0.880302140100589,NA,0.000251952031650509,0.00133586078335423
20,m1,0.891315717395003,0.987324386904853,NA,0.000380786743795411,0.00239272364939172
20,m1,1.38958674735264,0.574297554684567,NA,0.000129247753958652,0.00690111212784383
20,m1,1.61163996400438,0.573572262683706,NA,0.000160179942241564,0.0112340846193925
20,m1,1.28202091807171,0.615472264232204,NA,0.000140446988409182,0.0105235044918367
20,m1,1.47050747786518,0.54785085938381,NA,0.000128721805024841,0.0101593294984998
20,m1,1.18593527863933,0.808713978767825,NA,0.000197245479199154,0.0128555323969145
20,m1,1.52902927205949,0.52979454661313,NA,0.000132963494873535,0.00986633086944883
20,m1,1.37680460002696,0.532670145099424,NA,0.00013121646463449,0.0087018965040264
20,m1,1.45666560774896,0.5862212430324,NA,0.000131860062402097,0.0062654036649232
20,m1,1.46032200101689,0.678595115859393,NA,0.000163965912767023,0.0165207275816982
20,m3,0.0619542346077279,NA,0.836760907689537,0.0367305128177128,0.0117874479380152
20,m1,1.39983161054228,0.43675786567434,NA,0.000153324989377034,0.0135279124720963
20,m1,1.41924828313406,0.461331985448881,NA,0.000140871819681913,0.00116617162805545
20,m1,1.41053374986374,0.54872942828891,NA,0.000128115305699563,0.00819810523621463
20,m1,1.46307067535791,0.578311344750568,NA,0.000131154943525084,0.0145077445292891
20,m1,1.42617325428478,0.604318615918987,NA,0.000132989462626648,0.0014851396526652
20,m1,1.65629031983599,0.425380560633449,NA,0.000166283934586045,0.00044126074350188
20,m1,1.24040540800698,0.665933028443457,NA,0.000150321091004753,0.00411248530401782
20,m3,0.00384876573575267,NA,0.963483172677224,0.0295022719021937,0.000188567496081365
20,m1,1.61845225479651,0.365611438585468,NA,0.000184053481702699,0.0140893210159937
20,m1,1.1377355242385,0.700674571110979,NA,0.000173765746789877,0.00993336785972555
20,m1,1.59829043138474,0.434495620696536,NA,0.000151181964683513,0.0118218067738524
20,m1,1.29143582935221,0.532332878828308,NA,0.000145918291786183,0.00652212913286204
20,m1,1.651012184398,0.434074236136751,NA,0.000162736257043419,0.00975470727615035
20,m1,1.07833290221354,0.888093580331503,NA,0.000240688612111684,0.0092218557795835
20,m1,1.08381576592932,0.763229600441538,NA,0.000193256099469061,0.00047128737152188
20,m1,1.36042320813805,0.752560625990148,NA,0.000187540829458889,0.00399406339431926
20,m1,1.40697136235123,0.643910487648626,NA,0.000141180481472883,0.00525652330911847
20,m1,1.33926602460572,0.662366499189523,NA,0.000143364144873149,0.00401309177753853
20,m1,1.51417841733888,0.5501503636744,NA,0.000132729273535005,0.00679158277764087
20,m1,1.06604701619857,0.799353242352673,NA,0.000203787763097271,0.00999095791314665
20,m1,1.48394130989076,0.512385705024645,NA,0.000129359300320076,0.00499758529626131
20,m1,0.853436510686956,0.97554659094947,NA,0.000393629127966595,0.0100471578073899
20,m1,1.49552975211611,0.510087679587976,NA,0.000129995243468535,0.00359544264434653
20,m1,1.29872244662114,0.568254064485981,NA,0.000138910509857717,0.00243098707389778
20,m1,1.53624495730255,0.417529429845069,NA,0.000150577720478171,0.00185696649327776
20,m1,1.33190793475308,0.531482023760757,NA,0.000137516201686365,0.00459597211155005
20,m1,1.43852387070476,0.506136501962706,NA,0.000129879538146947,0.000740816216303463
20,m1,1.45067479606393,0.514657336920646,NA,0.000128756692226295,0.0156137657032992
20,m1,1.17494885019562,0.743781856288089,NA,0.000173085127480957,0.00138632265595821
20,m1,1.18295077892834,0.767690937768437,NA,0.000179543607558807,0.0130127627774731
20,m1,1.32827484989863,0.540388747646308,NA,0.000136816332707154,0.00345762028209192
20,m1,1.02098610748824,0.959011778286269,NA,0.000305540550461053,0.0146127446670875
20,m1,1.28672609628131,0.604093374824727,NA,0.000139512947605927,0.0109783228728265
20,m1,1.2313650986726,0.735576925608623,NA,0.000166663828735741,0.0152936945665663
20,m1,1.04174202735736,0.986108255611357,NA,0.000344525196884765,0.0153987921916745
20,m1,1.48848682194001,0.583302044778386,NA,0.000134501931814242,0.0154055746647011
20,m1,1.45429510803716,0.497529437111478,NA,0.000130504428616295,0.00629987067413567
20,m1,1.3997943781977,0.613396547214987,NA,0.000133568736028815,0.00779361010517337
20,m1,1.39929397931743,0.486770328094117,NA,0.000136321283006573,0.0121862035807671
20,m1,1.48849628348998,0.433901348139773,NA,0.000144609913851309,0.0160438298981913
20,m1,1.57191536731828,0.477854055873674,NA,0.000139728750722895,0.00114316090625548
20,m1,1.44128733555376,0.589270894611823,NA,0.000131306832540494,0.0113503560333817
20,m1,1.68392561754733,0.460840029438843,NA,0.00016976209439526,0.00126644562898326
20,m1,1.35003401150326,0.573273073809777,NA,0.000131717903119027,0.00493909792187128
20,m1,1.03521291914233,0.972947293486484,NA,0.000323912927853434,0.00867254689886037
20,m1,1.51873797585891,0.476942639924603,NA,0.000134440241077952,0.0109684361685665
20,m1,1.50944477537553,0.438068387568841,NA,0.000142926909540359,0.0165438651405642
20,m1,1.56904628938866,0.379592315787815,NA,0.000170169069581749,0.0034991823423561
20,m2,1.19572057228493,0.28668590360202,NA,0.0112674335185122,0.00047451793924753
20,m1,1.34955009243633,0.639263107218414,NA,0.000138060255365107,0.0001936799465947
20,m1,1.59192415649232,0.460349867067473,NA,0.000144989074204866,0.00313184839132287
20,m1,1.30826090566906,0.55360863488425,NA,0.000138670924091223,0.00361768711236915
20,m1,1.73567152215924,0.393936075670426,NA,0.000207391533392965,0.0062770821414023
20,m1,1.8246915683603,0.30638139288022,NA,0.000345170598712117,0.0143569988619134
20,m1,1.42905081969515,0.698576436228462,NA,0.000168096006606785,0.0084638280736566
20,m1,1.74127655859092,0.334766937432558,NA,0.000247967836247449,0.00541887950493558
20,m1,1.72186472723604,0.453389397346506,NA,0.000186955844680109,0.00541627372159545
20,m1,1.28378523798925,0.684631689975615,NA,0.000149953406322747,0.00531726157949255
20,m1,1.40342300632802,0.505301009559312,NA,0.000132227836460456,0.00399572820399495
20,m1,1.35008258348455,0.628528838404651,NA,0.000136107727755965,0.0130673998679112
20,m1,1.77515220787532,0.33732304399469,NA,0.000266814291260138,0.00533991976315297
20,m1,1.16259457682146,0.730752433086147,NA,0.000171943710751687,0.00968052073559884
20,m1,1.05627069581329,0.769491241217429,NA,0.000201753583186712,0.0151185632770267
20,m1,1.73128437529133,0.405850080823392,NA,0.000200792998289952,0.0123178092071676
20,m1,1.38949531421254,0.629113501670256,NA,0.000136390166297433,0.0143331284344997
20,m1,1.2542058452343,0.667893379255571,NA,0.000148872458352346,0.00429435036602851
20,m1,1.64605017015692,0.369700439830996,NA,0.000186911546908968,0.00873648287928475
20,m1,1.46737167508272,0.486956851692151,NA,0.000131810010187323,0.00184612026347744
20,m1,1.10822330732933,0.7717432512744,NA,0.000189315044503065,0.00129810823396972
20,m1,1.15444206722971,0.930485437649497,NA,0.000295150614698355,0.0102891800758731
20,m1,1.48892893090849,0.557560944601185,NA,0.000130792278540011,0.00938764094067717
20,m1,1.24622235437564,0.520794808286277,NA,0.000163265216259469,0.00784098442672482
20,m1,1.44391179084162,0.497360232848514,NA,0.00013083689189112,0.00549364238932657
20,m1,1.50825888532588,0.393524934309317,NA,0.000161903551680839,0.0125742189460425
20,m1,1.39967164289743,0.612586351193126,NA,0.0001334208548558,0.00810529383643575
20,m1,1.28953898184058,0.558843951378074,NA,0.000141728997415419,0.00800548256330765
20,m1,1.36837594275748,0.54989552949156,NA,0.000130700803475522,0.000266378576809701
20,m1,0.829034315623687,0.997371794346991,NA,0.000450738051142794,0.00203064365043787
20,m1,1.09239440733116,0.755749699415028,NA,0.000190125619872903,0.0162530704555507
20,m1,1.28310110879311,0.559672958940134,NA,0.000143013984373837,0.0030050230418234
20,m1,1.40857204088863,0.477711430285395,NA,0.000137456217747048,0.0110661627259361
20,m1,1.62649319451949,0.48678853134471,NA,0.000150404728656834,0.000325269605428661
20,m2,1.4554928951444,0.348001459746134,NA,0.00687593239032458,0.00363409539108839
20,m1,1.29206530206405,0.699520726305792,NA,0.000153950325532944,0.0126605584054711
20,m1,1.39117481978245,0.702154923544195,NA,0.000162717227097088,0.00616450424376083
20,m1,1.24671211761777,0.663509283456434,NA,0.000149176113358279,0.00958259253820753
20,m1,0.921550394652811,0.937605482320545,NA,0.000309052123567152,9.32857608268686e-05
20,m1,1.23317417612952,0.694840157845305,NA,0.000155832916235066,0.0158580984798717
20,m1,1.23711690778145,0.638601261889869,NA,0.000148661417085507,0.0155386477918277
20,m1,1.65302484840002,0.40572892850469,NA,0.000171489966407128,0.00876643760747134
20,m1,1.13691374484002,0.776580764318704,NA,0.000186177538559113,0.00620404607259511
20,m1,1.22601684573917,0.639267562584815,NA,0.000150836583832404,0.00319084244670151
20,m1,1.36918937752216,0.536196751076904,NA,0.00013166022086128,0.00130149598366053
20,m1,1.79073607767305,0.319643710207616,NA,0.00029657427110448,0.0117672654571038
20,m1,1.15265236953727,0.813404603552878,NA,0.000198832006204272,0.0144044443529313
20,m1,1.24130668926773,0.639844313709665,NA,0.000147958620286216,0.0128922571676781
20,m1,0.96333136908317,0.898711029164884,NA,0.000265939285943163,0.0162373777518978
20,m1,1.22022687001367,0.685151245938463,NA,0.000155718767350455,0.00626973007059465
20,m1,1.31475360545091,0.638167676696215,NA,0.000139146308623074,0.00272095707312294
20,m1,1.60300567316601,0.395756480813001,NA,0.000165384967475685,0.00814791184104052
20,m1,1.31039454299954,0.582321395966038,NA,0.000136233109943258,0.00261864260615068
20,m1,1.02799000785934,0.91471636690479,NA,0.000262245131972075,0.00122572627748135
20,m1,1.5617224312831,0.565668612024877,NA,0.000143523019739932,0.0162800584349351
20,m1,1.38649499914779,0.606077440355924,NA,0.000132225629991654,0.0129077242078283
20,m1,1.10932849090164,0.795329561564878,NA,0.000195061840198566,0.0154448228422827
20,m1,1.49470636265396,0.416090981831797,NA,0.000151390223620955,0.00656773875612894
20,m1,1.83297584426556,0.406587537207718,NA,0.000275649998256566,0.00945833238390521
20,m1,1.34383696167556,0.561154167730166,NA,0.000132688571849487,0.00430158309292523
20,m1,1.37756400529484,0.543474045912294,NA,0.000130259566456515,0.00276620801877932
20,m1,1.29341094057563,0.714592158892434,NA,0.000159118076563395,0.00979314475905971
20,m1,1.37325882998784,0.528725654650068,NA,0.00013201789006242,0.0128427276766761
20,m1,1.46169064586324,0.517534347548081,NA,0.000128559083101097,0.00873272562069177
20,m1,1.02151954897223,0.896773678220934,NA,0.000250552177361434,0.00826691377476978
