gen,model,alpha,beta,pWeight,dist1
1,m1,1.53347266355436,0.205611769607058,0.001,0.276700204296288
1,m1,3.39365822465345,0.337212391918292,0.001,3.14673687067244
1,m1,3.27893097483832,0.054459584918106,0.001,2.13956010850868
1,m1,1.55639826535992,0.128770158477593,0.001,0.589474702632686
1,m1,0.688387138602324,0.164025840240996,0.001,2.08070495985787
1,m1,1.63341268989164,0.222326794625027,0.001,0.119948979507892
1,m1,0.0181652623657137,0.43857540429174,0.001,3.14734813682328
1,m1,3.89296341082547,0.697068691835506,0.001,8.43182929048888
1,m1,2.31973142885789,0.865062737248605,0.001,3.31298829014923
1,m1,1.82952404359169,0.85629077159171,0.001,1.32376174142995
1,m1,0.448337128791958,0.574434453055263,0.001,1.38067233221489
1,m1,1.94324571135174,0.34021235285257,0.001,0.126261828418739
1,m1,3.24699609434418,0.625822945963359,0.001,5.00636781574315
1,m1,2.17156262255088,0.656017161720898,0.001,1.6342360943582
1,m1,1.23180025328603,0.1191643404637,0.001,0.735404982878999
1,m1,3.78570971210767,0.357513686093967,0.001,4.17065754489807
1,m1,1.32433563054167,0.362675910976483,0.001,0.279001752283538
1,m1,0.967577839538455,0.392462872852106,0.001,0.461178052812561
1,m1,2.12012124556117,0.195524401068687,0.001,0.17300697818194
1,m1,3.64142457214277,0.424110508733895,0.001,4.63900609407576
1,m1,1.66406645934191,0.903429751891177,0.001,0.538139155992286
1,m1,3.91452874008939,0.686563011810416,0.001,9.82046308653497
1,m1,0.300230709197931,0.383995962478919,0.001,2.09835152565687
1,m1,3.86168872034457,0.473561410411494,0.001,6.11657937954865
1,m1,2.65127967985999,0.765450019693933,0.001,3.46898808943559
1,m1,2.26343850040808,0.952757621127646,0.001,3.12393545901561
1,m1,2.07970744300634,0.684081588733476,0.001,1.00821705698555
1,m1,3.23619654734712,0.198345142181497,0.001,1.97439679012068
1,m1,0.392011494353414,0.233678100821795,0.001,2.13980860100463
1,m1,0.290417009063996,0.361119109326508,0.001,2.03025714265392
1,m1,1.28338886925392,0.540917870619567,0.001,0.013471544599364
1,m1,3.41701955326647,0.932273049417883,0.001,11.9255797742656
1,m1,1.26939854252059,0.728761053357273,0.001,0.0072643196411009
1,m1,1.13361678716075,0.632205397777958,0.001,0.0544312862861444
1,m1,0.122349181668833,0.124598201920511,0.001,3.44584526311568
1,m1,0.81227716515772,0.289797051450703,0.001,0.795968585838206
1,m1,2.92706271699071,0.97983357776911,0.001,8.15962561552199
1,m1,3.79603485948499,0.659599869575817,0.001,9.10525024610021
1,m1,0.0498956963932142,0.547390949607827,0.001,2.3855878622407
1,m1,2.50527713186853,0.315061219776515,0.001,0.541492678942094
1,m1,1.48555816286616,0.950786677665543,0.001,0.854609850781771
1,m1,1.16686919637583,0.358080427703913,0.001,0.300969183435278
1,m1,1.31367408670392,0.464071056613699,0.001,0.0777686788466758
1,m1,0.582371397047304,0.526663232887862,0.001,0.93362109066768
1,m1,3.69417617782019,0.197782021068502,0.001,3.91014775241513
1,m1,1.5984321415741,0.969089174357941,0.001,1.42307895903955
1,m1,3.51576944998465,0.419906460182974,0.001,4.09110473410415
1,m1,3.0948596147541,0.614640592243755,0.001,4.44314184540457
1,m1,0.83390492892731,0.432027114438824,0.001,0.828522115762353
1,m1,3.33776217981055,0.514368213383714,0.001,4.47260808926616
1,m1,2.3424197815638,0.459844019346638,0.001,0.898051356097993
1,m1,2.93080556102376,0.397645800630329,0.001,2.31215412409392
1,m1,0.553124654656276,0.229746218582848,0.001,1.97514109166693
1,m1,1.9153078188533,0.388704231296666,0.001,0.111977013581474
1,m1,0.936959926874377,0.415471136699663,0.001,0.622693474726434
1,m1,1.45640433389973,0.360732763828943,0.001,0.0259062400182414
1,m1,1.03107320016436,0.224956779263681,0.001,0.936521593779611
1,m1,3.27334866834059,0.724277508246014,0.001,6.18321157895746
1,m1,0.10559686683584,0.976239994046511,0.001,1.28191887458884
1,m1,1.4294239003472,0.442312201394467,0.001,0.0830836883688696
1,m1,2.47554931839276,0.790213570789434,0.001,3.06656770676076
1,m1,3.62531211489066,0.685660328650381,0.001,8.40746259957089
1,m1,1.51712581958249,0.65353045090707,0.001,0.0905851973792748
1,m1,2.14349031629413,0.0596705935080536,0.001,0.720245759010682
1,m1,0.358302202133462,0.135257853416726,0.001,2.65841082042773
1,m1,1.77773142172489,0.406917179220822,0.001,0.170088578350269
1,m1,1.86434363088477,0.649843244717456,0.001,0.620054438344002
1,m1,1.83238850416988,0.56945932607376,0.001,0.201037299973122
1,m1,2.52010990982503,0.663824905472109,0.001,1.71338593694082
1,m1,0.0680651799915358,0.274625962053891,0.001,3.52135888681457
1,m1,2.3618467146894,0.238344930130523,0.001,0.626772965948693
1,m1,0.956249928262085,0.830903435335262,0.001,0.116598066711618
1,m1,0.235025273974054,0.858077754193451,0.001,1.38749161502261
1,m1,1.18527015673742,0.242182322100969,0.001,0.415917233178858
1,m1,0.368529905501753,0.123628513769945,0.001,2.59821747536328
1,m1,3.2358442430757,0.733796123540029,0.001,6.59901413337009
1,m1,2.00791443887353,0.581094882738544,0.001,0.45618121330456
1,m1,3.95177983020525,0.290123014310375,0.001,4.65244304031886
1,m1,2.82266214264184,0.727857506175293,0.001,4.4442564569112
1,m1,2.94114213593677,0.757548223577905,0.001,5.17653387357415
1,m1,2.60080874756631,0.792942405897891,0.001,3.49041825974449
1,m1,1.76504459865205,0.83877458484238,0.001,0.984449271119659
1,m1,2.91976562591549,0.719862872141181,0.001,5.46030314986969
1,m1,2.55861912166886,0.826943730775267,0.001,3.88324237175391
