alpha,beta,model
1.53347266355436,0.205611769607058,m1
3.39365822465345,0.337212391918292,m1
3.27893097483832,0.054459584918106,m1
1.55639826535992,0.128770158477593,m1
0.688387138602324,0.164025840240996,m1
1.63341268989164,0.222326794625027,m1
0.0181652623657137,0.43857540429174,m1
3.89296341082547,0.697068691835506,m1
2.31973142885789,0.865062737248605,m1
1.82952404359169,0.85629077159171,m1
0.448337128791958,0.574434453055263,m1
1.94324571135174,0.34021235285257,m1
3.24699609434418,0.625822945963359,m1
2.17156262255088,0.656017161720898,m1
1.23180025328603,0.1191643404637,m1
3.78570971210767,0.357513686093967,m1
1.32433563054167,0.362675910976483,m1
0.967577839538455,0.392462872852106,m1
2.12012124556117,0.195524401068687,m1
3.64142457214277,0.424110508733895,m1
1.66406645934191,0.903429751891177,m1
3.91452874008939,0.686563011810416,m1
0.300230709197931,0.383995962478919,m1
3.86168872034457,0.473561410411494,m1
2.65127967985999,0.765450019693933,m1
2.26343850040808,0.952757621127646,m1
2.07970744300634,0.684081588733476,m1
3.23619654734712,0.198345142181497,m1
0.392011494353414,0.233678100821795,m1
0.290417009063996,0.361119109326508,m1
1.28338886925392,0.540917870619567,m1
3.41701955326647,0.932273049417883,m1
1.26939854252059,0.728761053357273,m1
1.13361678716075,0.632205397777958,m1
0.122349181668833,0.124598201920511,m1
0.81227716515772,0.289797051450703,m1
2.92706271699071,0.97983357776911,m1
3.79603485948499,0.659599869575817,m1
0.0498956963932142,0.547390949607827,m1
2.50527713186853,0.315061219776515,m1
1.48555816286616,0.950786677665543,m1
1.16686919637583,0.358080427703913,m1
1.31367408670392,0.464071056613699,m1
0.582371397047304,0.526663232887862,m1
3.69417617782019,0.197782021068502,m1
1.5984321415741,0.969089174357941,m1
3.51576944998465,0.419906460182974,m1
3.0948596147541,0.614640592243755,m1
0.83390492892731,0.432027114438824,m1
3.33776217981055,0.514368213383714,m1
2.3424197815638,0.459844019346638,m1
2.93080556102376,0.397645800630329,m1
0.553124654656276,0.229746218582848,m1
1.9153078188533,0.388704231296666,m1
0.936959926874377,0.415471136699663,m1
1.45640433389973,0.360732763828943,m1
1.03107320016436,0.224956779263681,m1
3.27334866834059,0.724277508246014,m1
0.10559686683584,0.976239994046511,m1
1.4294239003472,0.442312201394467,m1
2.47554931839276,0.790213570789434,m1
3.62531211489066,0.685660328650381,m1
2.14349031629413,0.0596705935080536,m1
0.358302202133462,0.135257853416726,m1
1.86434363088477,0.649843244717456,m1
1.83238850416988,0.56945932607376,m1
0.0680651799915358,0.274625962053891,m1
2.3618467146894,0.238344930130523,m1
0.235025273974054,0.858077754193451,m1
1.18527015673742,0.242182322100969,m1
3.2358442430757,0.733796123540029,m1
2.00791443887353,0.581094882738544,m1
2.82266214264184,0.727857506175293,m1
2.94114213593677,0.757548223577905,m1
2.60080874756631,0.792942405897891,m1
2.55861912166886,0.826943730775267,m1
0.560280673632398,0.142071973417886,m1
1.10938503460679,0.461835265575442,m1
3.54179202135373,0.698867479410721,m1
1.74409110984858,0.794995574818458,m1
2.1966385674933,0.325038367301226,m1
2.09065119565185,0.665000603118213,m1
1.95389975338057,0.113620579886716,m1
0.733872264774516,0.854430828307522,m1
2.94994849206321,0.515744568791939,m1
2.11694430534076,0.87249647678202,m1
2.36852836387791,0.675663428219501,m1
3.94487046404183,0.768742155756569,m1
3.52015115012229,0.2116517971945,m1
0.00133754269499332,0.563221078088041,m1
0.888084504500032,0.0368042616357561,m1
2.74798810873739,0.67736191340629,m1
3.79573978073616,0.949657861294923,m1
0.726054228045978,0.66657255840837,m1
3.08708236181922,0.020030278562801,m1
3.14040759380721,0.411304766033078,m1
1.66974014840927,0.0834372283548582,m1
3.16908247132692,0.0898878458668478,m1
3.83557877586968,0.320516837902134,m1
3.31839531939384,0.296654466341715,m1
3.44417617197242,0.220901561996667,m1
1.17278464495763,0.00880693894741125,m1
1.84976957707573,0.101731103634229,m1
1.06549119936582,0.930069095999002,m1
0.177725986885838,0.247554163420806,m1
3.56443287034333,0.270902337934589,m1
1.77211426279973,0.451098412535386,m1
3.56984941758402,0.478164261455415,m1
0.782051942330785,0.272943003866589,m1
1.41871081906278,0.710421241360949,m1
2.06366568815801,0.712570725821191,m1
1.70535412303731,0.61382707939134,m1
3.03900818448048,0.821234752591466,m1
0.741357201860286,0.72334587460896,m1
3.53720843443647,0.78162393433461,m1
2.59698792541865,0.210095998539124,m1
2.29275161382835,0.314035196214449,m1
3.74207853927556,0.262179220400052,m1
1.41429442224838,0.917628567304462,m1
3.60508550256863,0.225578419521917,m1
2.46092943266686,0.25012633676664,m1
1.68798675060365,0.37947428308567,m1
2.01636088943016,0.476238324675709,m1
3.24103653897904,0.427025669535389,m1
2.98870220324863,0.0696198216543999,m1
2.90888368343376,0.970065407641232,m1
0.514579588529654,0.0853125520034227,m1
2.49055546920653,0.744973875344032,m1
3.48865023252089,0.940535112196114,m1
3.01434004371613,0.277318625409156,m1
1.68187233915925,0.317639259750955,m1
1.4483098379923,0.0879926149586681,m1
1.04346440501045,0.389800132410135,m1
1.19143835868314,0.542799161039293,m1
2.75331951160822,0.488429440509062,m1
1.21687293875217,0.13036774610728,m1
2.68813794799987,0.55597020306834,m1
1.32852195741516,0.374454014276387,m1
2.69942218730226,0.920141720942454,m1
2.89227844094485,0.49556893892237,m1
1.1682415350005,0.70372621324216,m1
2.03112628020998,0.329538557658438,m1
2.3754293559771,0.15336497457861,m1
1.6497086738199,0.995643927128753,m1
2.57576164866611,0.638061877187109,m1
3.62166227582935,0.634005145640811,m1
2.79929581197537,0.778672711726045,m1
0.886637578910217,0.552324709111825,m1
3.96840119981114,0.715475868113339,m1
3.73286799827777,0.787277744044317,m1
3.06804568203725,0.49459895663592,m1
2.40979883709271,0.10255182065093,m1
3.13570484794304,0.212583014430245,m1
0.816298177664168,0.626103238740936,m1
2.54771534972172,0.279253511278424,m1
2.62091460026149,0.264328519282397,m1
1.44152191474289,0.983277612990467,m1
0.36652875824552,0.228305219504982,m1
3.57708703553397,0.98837484338996,m1
3.077535131827,0.966826405785745,m1
2.33778595567122,0.651707439229591,m1
0.0151696084970608,0.879812541977968,m1
1.79356982676778,0.330282036382006,m1
3.67993837500922,0.319257111570565,m1
3.38745010306872,0.502721172246383,m1
1.46308550257236,0.734055831123376,m1
3.06045420272835,0.0567269460193347,m1
0.758513901514932,0.886778102655895,m1
0.52118645461835,0.639787644976983,m1
2.98760167880077,0.333463190787705,m1
1.37004616132099,0.716175586250145,m1
