gen,dist1,acceptance_rate
2,4.09833666361879,0.838333333333333
3,2.25463527937284,0.746750835499443
4,1.30024942065437,0.67983789260385
5,0.803018228080678,0.60377924415117
6,0.54332628452626,0.557740238161174
7,0.36965708331812,0.523276983094928
8,0.25138620444203,0.440510226522982
9,0.17302381824056,0.405339805825243
10,0.121602591926961,0.353501499382607
11,0.093309755075719,0.322861285645239
12,0.0701915746472969,0.278946635084297
13,0.0532668353595048,0.228211529732183
14,0.0415027185492774,0.201510574018127
15,0.0325580138005457,0.172540948460681
16,0.0252708966850493,0.141695538428905
17,0.020106677641101,0.120423892100193
18,0.0163035997395865,0.100470564677613
19,0.0127186959034696,0.085575296108291
20,0.0100461818633568,0.0710541229810144
